X  1.44120849, cosTheta -0.21936127, sinTheta  0.97564370,
X  1.44122175, cosTheta -0.21878697, sinTheta  0.97577265,
X  1.44123416, cosTheta -0.21822223, sinTheta  0.97589910,
X  1.44124574, cosTheta -0.21766704, sinTheta  0.97602308,
X  1.44125651, cosTheta -0.21712142, sinTheta  0.97614460,
X  1.44126650, cosTheta -0.21658537, sinTheta  0.97626368,
X  1.44127574, cosTheta -0.21605890, sinTheta  0.97638033,
X  1.44128425, cosTheta -0.21554201, sinTheta  0.97649457,
X  1.44129205, cosTheta -0.21503472, sinTheta  0.97660641,
X  1.44129917, cosTheta -0.21453701, sinTheta  0.97671586,
X  1.44130562, cosTheta -0.21404891, sinTheta  0.97682295,
X  1.44131145, cosTheta -0.21357040, sinTheta  0.97692768,
X  1.44131666, cosTheta -0.21310151, sinTheta  0.97703007,
X  1.44132128, cosTheta -0.21264222, sinTheta  0.97713013,
X  1.44132534, cosTheta -0.21219255, sinTheta  0.97722788,
X  1.44132886, cosTheta -0.21175250, sinTheta  0.97732332,
X  1.44133186, cosTheta -0.21132207, sinTheta  0.97741648,
X  1.44133436, cosTheta -0.21090126, sinTheta  0.97750737,
X  1.44133638, cosTheta -0.21049008, sinTheta  0.97759599,
X  1.44133795, cosTheta -0.21008853, sinTheta  0.97768237,
X  1.44133910, cosTheta -0.20969661, sinTheta  0.97776650,
X  1.44133983, cosTheta -0.20931433, sinTheta  0.97784841,
X  1.44134018, cosTheta -0.20894168, sinTheta  0.97792810,
X  1.44134016, cosTheta -0.20857868, sinTheta  0.97800559,
X  1.44133980, cosTheta -0.20822531, sinTheta  0.97808089,
X  1.44133911, cosTheta -0.20788158, sinTheta  0.97815400,
X  1.44133812, cosTheta -0.20754749, sinTheta  0.97822494,
X  1.44133685, cosTheta -0.20722305, sinTheta  0.97829372,
X  1.44133532, cosTheta -0.20690825, sinTheta  0.97836035,
X  1.44133355, cosTheta -0.20660310, sinTheta  0.97842484,
X  1.44133155, cosTheta -0.20630759, sinTheta  0.97848719,
X  1.44132936, cosTheta -0.20602173, sinTheta  0.97854742,
X  1.44132698, cosTheta -0.20574552, sinTheta  0.97860553,
X  1.44132444, cosTheta -0.20547895, sinTheta  0.97866154,
X  1.44132177, cosTheta -0.20522202, sinTheta  0.97871544,
X  1.44131896, cosTheta -0.20497475, sinTheta  0.97876726,
X  1.44131606, cosTheta -0.20473712, sinTheta  0.97881700,
X  1.44131307, cosTheta -0.20450913, sinTheta  0.97886466,
X  1.44130858, cosTheta -0.20419315, sinTheta  0.97893062,
X  1.44130551, cosTheta -0.20399256, sinTheta  0.97897244,
X  1.44130254, cosTheta -0.20380894, sinTheta  0.97901068,
X  1.44129971, cosTheta -0.20364227, sinTheta  0.97904537,
X  1.44129704, cosTheta -0.20349254, sinTheta  0.97907650,
X  1.44129456, cosTheta -0.20335975, sinTheta  0.97910409,
X  1.44129230, cosTheta -0.20324390, sinTheta  0.97912814,
X  1.44129029, cosTheta -0.20314497, sinTheta  0.97914867,
X  1.44128856, cosTheta -0.20306296, sinTheta  0.97916568,
X  1.44128714, cosTheta -0.20299787, sinTheta  0.97917918,
X  1.44128605, cosTheta -0.20294968, sinTheta  0.97918917,
X  1.44128531, cosTheta -0.20291840, sinTheta  0.97919565,
X  1.44128497, cosTheta -0.20290402, sinTheta  0.97919863,
X  1.44128503, cosTheta -0.20290652, sinTheta  0.97919811,
X  1.44128553, cosTheta -0.20292591, sinTheta  0.97919409,
X  1.44128649, cosTheta -0.20296218, sinTheta  0.97918658,
X  1.44128793, cosTheta -0.20301532, sinTheta  0.97917556,
X  1.44128987, cosTheta -0.20308533, sinTheta  0.97916104,
X  1.44129235, cosTheta -0.20317220, sinTheta  0.97914302,
X  1.44129537, cosTheta -0.20327593, sinTheta  0.97912149,
X  1.44129897, cosTheta -0.20339651, sinTheta  0.97909645,
X  1.44130316, cosTheta -0.20353393, sinTheta  0.97906789,
X  1.44130796, cosTheta -0.20368820, sinTheta  0.97903581,
X  1.44131339, cosTheta -0.20385930, sinTheta  0.97900020,
X  1.44131947, cosTheta -0.20404723, sinTheta  0.97896105,
X  1.44132623, cosTheta -0.20425198, sinTheta  0.97891835,
X  1.44133366, cosTheta -0.20447356, sinTheta  0.97887209,
X  1.44134181, cosTheta -0.20471195, sinTheta  0.97882226,
X  1.44135067, cosTheta -0.20496716, sinTheta  0.97876885,
X  1.44136028, cosTheta -0.20523917, sinTheta  0.97871185,
X  1.44137063, cosTheta -0.20552798, sinTheta  0.97865124,
X  1.44138176, cosTheta -0.20583359, sinTheta  0.97858701,
X  1.44139367, cosTheta -0.20615600, sinTheta  0.97851914,
X  1.44140637, cosTheta -0.20649520, sinTheta  0.97844761,
X  1.44141989, cosTheta -0.20685118, sinTheta  0.97837242,
X  1.44143423, cosTheta -0.20722395, sinTheta  0.97829353,
X  1.44144940, cosTheta -0.20761349, sinTheta  0.97821094,
X  1.44146543, cosTheta -0.20801982, sinTheta  0.97812461,
X  1.44148231, cosTheta -0.20844291, sinTheta  0.97803454,
X  1.44150006, cosTheta -0.20888278, sinTheta  0.97794069,
X  1.44151869, cosTheta -0.20933941, sinTheta  0.97784304,
X  1.44153821, cosTheta -0.20981280, sinTheta  0.97774158,
X  1.44155863, cosTheta -0.21030296, sinTheta  0.97763626,
X  1.44157995, cosTheta -0.21080987, sinTheta  0.97752708,
X  1.44160219, cosTheta -0.21133354, sinTheta  0.97741400,
X  1.44162535, cosTheta -0.21187396, sinTheta  0.97729700,
X  1.44164945, cosTheta -0.21243113, sinTheta  0.97717604,
X  1.44167447, cosTheta -0.21300504, sinTheta  0.97705110,
X  1.44170044, cosTheta -0.21359570, sinTheta  0.97692214,
X  1.44172735, cosTheta -0.21420311, sinTheta  0.97678914,
X  1.44175522, cosTheta -0.21482725, sinTheta  0.97665206,
X  1.44178404, cosTheta -0.21546813, sinTheta  0.97651087,
X  1.44181381, cosTheta -0.21612575, sinTheta  0.97636554,
X  1.44184455, cosTheta -0.21680010, sinTheta  0.97621602,
